GexfID,Communities
1,3
2,5
3,3
5,3
6,4
7,3
8,3
9,5
10,3
11,5
13,3
14,4
15,4
17,3
19,4
21,6
22,4
23,5
24,6
25,4
26,2
27,3
28,3
30,4
31,3
32,5
33,4
34,7
36,4
38,2
39,4
40,3
41,3
42,4
43,3
44,6
45,5
47,5
48,5
49,5
50,6
51,4
52,6
54,6
57,4
58,5
59,3
60,5
61,6
62,4
63,3
64,8
65,6
66,5
67,5
68,4
69,6
70,4
71,3
72,4
73,4
74,4
76,4
80,4
81,5
82,4
83,4
84,4
85,5
86,4
87,4
88,3
89,4
91,4
92,6
93,6
97,4
98,4
99,2
100,5
101,4
102,3
103,4
104,4
106,2
107,3
108,5
109,5
110,6
111,4
112,5
113,5
114,6
115,6
116,5
117,4
118,7
119,5
120,5
122,2
123,4
124,4
125,6
126,4
127,2
128,2
129,9
130,4
131,7
132,4
133,5
134,3
135,5
136,4
137,2
138,9
139,5
141,3
142,3
143,4
144,4
145,4
146,4
147,4
148,5
149,4
150,5
151,4
152,5
153,4
154,3
155,5
157,3
158,5
159,6
161,3
162,2
163,5
164,4
165,6
166,4
167,4
169,5
170,5
171,4
173,3
174,3
175,7
176,3
177,4
178,9
179,5
180,6
182,3
183,4
184,5
185,3
186,3
187,6
189,4
190,5
191,6
192,3
193,3
194,3
195,6
197,4
198,4
199,3
200,5
201,3
204,6
205,6
206,4
208,5
209,9
210,4
211,4
212,4
213,4
214,5
216,4
217,5
218,3
220,4
221,4
222,4
223,5
224,5
225,4
226,3
227,3
229,3
231,5
232,4
234,3
235,4
236,6
238,4
239,3
240,4
241,5
242,4
243,3
244,6
246,5
247,3
248,5
249,4
250,4
251,6
252,5
253,6
254,5
255,5
256,4
257,4
258,4
260,5
261,6
262,4
263,4
264,3
265,5
266,6
268,7
269,4
271,5
272,4
273,7
274,4
276,4
278,4
279,5
280,4
281,7
282,3
283,4
286,5
287,4
288,4
289,4
290,4
291,3
292,1
293,2
294,4
295,3
296,8
297,3
298,6
299,6
300,6
301,4
302,3
303,5
304,5
305,7
306,4
307,5
308,6
309,7
310,3
311,4
313,3
314,5
315,4
316,8
317,4
318,3
319,4
320,7
321,4
322,5
323,4
324,5
325,3
326,4
327,3
328,3
329,4
330,6
331,5
332,4
333,3
334,4
335,5
336,5
337,7
338,4
339,4
340,5
341,5
343,6
344,4
346,5
347,3
348,7
349,3
350,6
351,3
352,4
354,3
355,4
356,6
357,5
358,5
359,4
361,2
362,5
363,5
364,5
366,4
368,6
369,4
370,5
371,5
372,6
373,5
374,4
375,4
376,5
377,6
378,5
379,3
383,4
384,4
385,4
386,4
387,7
388,5
389,3
391,4
393,3
394,5
395,4
396,3
397,5
398,3
399,4
400,5
401,3
402,6
403,6
404,4
405,4
406,3
407,4
408,3
409,5
410,4
411,5
412,6
413,5
414,5
415,5
416,3
417,4
418,8
419,2
420,4
421,5
422,3
423,3
424,4
426,5
427,3
429,3
430,3
432,4
433,5
434,3
435,5
436,4
437,3
438,5
439,4
442,4
443,4
444,6
445,5
446,3
447,7
449,2
450,4
451,4
452,5
453,4
454,5
455,4
456,13
457,4
458,4
459,4
460,3
461,4
462,4
464,6
465,5
466,3
467,6
468,3
469,4
470,5
471,4
472,6
474,8
475,4
476,3
477,3
478,4
481,4
482,3
483,4
484,4
485,3
486,5
487,3
488,3
489,2
490,4
491,6
494,2
495,2
496,4
497,3
498,4
499,5
500,4
501,3
503,4
505,5
506,3
507,5
508,3
509,6
510,6
511,3
512,3
513,4
515,6
516,5
517,4
518,4
519,5
520,6
521,4
523,6
524,6
525,5
526,10
527,3
528,4
529,3
530,6
531,4
532,4
533,5
534,4
535,6
536,3
537,3
538,4
539,5
541,4
542,2
543,4
544,4
545,3
547,4
548,3
549,5
550,9
551,5
552,4
553,6
555,3
556,4
558,5
559,4
560,5
562,5
564,4
565,3
566,4
567,5
569,4
570,4
571,5
572,5
573,5
575,4
577,6
578,4
579,4
580,5
581,4
582,3
583,3
584,6
586,5
587,4
591,6
592,3
593,2
594,6
595,3
599,4
600,6
601,5
602,3
603,3
605,5
606,5
607,5
608,4
609,3
610,6
611,4
615,4
616,4
618,3
619,4
620,5
621,5
622,2
623,5
624,6
625,3
628,6
629,4
630,5
631,5
632,5
633,3
634,3
635,4
636,4
637,4
638,3
640,3
641,3
642,3
643,4
644,7
645,5
647,3
648,4
649,5
650,3
651,3
652,3
653,5
655,4
656,4
657,3
658,3
659,5
660,6
661,4
662,4
664,4
665,3
666,3
667,5
668,3
669,3
670,3
671,4
672,5
673,2
675,4
677,6
678,4
679,4
682,3
683,3
685,4
686,5
687,4
688,3
689,6
691,3
692,5
693,4
694,4
695,6
696,3
697,3
698,3
699,6
700,6
701,4
703,4
704,7
705,5
706,3
707,4
708,4
710,4
712,6
713,5
714,4
715,4
716,8
717,3
718,6
719,3
720,4
721,9
723,6
724,2
725,3
727,4
728,3
729,3
730,5
731,4
732,3
733,3
734,4
735,3
737,5
738,5
739,4
740,5
741,5
742,4
743,7
744,3
745,4
746,5
747,4
748,4
749,6
750,5
751,5
753,5
754,7
755,2
756,3
757,4
758,3
760,3
761,4
762,5
764,7
765,2
766,6
767,7
768,3
769,3
770,4
771,2
772,4
773,4
774,4
775,4
777,5
779,5
780,4
781,5
782,5
783,3
784,5
785,4
786,4
787,6
788,6
790,5
791,4
792,7
793,5
794,4
797,6
798,5
799,3
800,6
801,4
802,4
803,4
804,4
805,4
806,4
808,4
809,5
810,4
811,3
812,3
814,1
815,3
816,6
817,7
818,3
819,1
820,5
821,4
822,5
824,2
825,2
826,4
827,3
828,5
829,4
830,3
831,4
832,8
833,3
834,8
835,3
836,3
837,5
839,3
840,4
841,3
843,4
844,4
846,3
847,3
848,5
849,3
850,5
851,5
852,5
853,4
854,4
855,3
857,3
858,4
859,6
860,6
861,6
862,4
863,4
865,4
867,5
869,8
870,3
871,4
872,4
873,3
874,4
875,5
876,4
877,10
878,5
879,8
880,5
881,5
883,2
884,5
885,5
887,4
888,3
889,6
891,5
892,5
893,3
895,4
896,5
899,5
901,3
902,3
904,5
905,4
906,3
907,4
908,3
910,5
911,3
912,5
913,3
914,3
